"lemmaId","arabic","lemma","root","partOfSpeech","phoneticKeys","occurrenceCount","firstRef","meaning","reviewStatus"
"arf-ytaarf","yataEaArafu","yataEaArafu","Erf","verb","ytaarf","2","10:45:10","","auto"
"arj-aarj",">aEoraj",">aEoraj","Erj","noun","aarj","2","24:61:7","","auto"
"arj-maarj","maEaArij","maEaArij","Erj","noun","maarj","2","43:33:15","","auto"
"arj-yarj","yaEoruju","yaEoruju","Erj","verb","yarj","5","15:14:9","","auto"
"arjn-arjwn","Eurojuwn","Eurojuwn","Erjn","noun","arjwn","1","36:39:6","","auto"
"ark-arayk",">araA^}ik",">araA^}ik","Ark","noun","arayk","5","18:31:24","","auto"
"arm-arm","Earim","Earim","Erm","noun","arm","1","34:16:5","","auto"
"arr-marh","m~aEar~ap","m~aEar~ap","Err","noun","marh","1","48:25:24","","auto"
"arr-matr","muEotar~","muEotar~","Err","noun","matr","1","22:36:22","","auto"
"arsh-arsh","Earo$","Earo$","Er$","noun","arsh","29","2:259:9","","auto"
"arsh-marwshat","m~aEoruw$a`t","m~aEoruw$a`t","Er$","adjective","marwshat","2","6:141:5","","auto"
"arsh-yarsh","yaEori$u","yaEori$u","Er$","verb","yarsh","2","7:137:29","","auto"
"arw-arwh","Eurowap","Eurowap","Erw","noun","arwh","2","2:256:17","","auto"
